rep,task_id,draft_ms,review_ms,medium_correct,high_correct,changed,draft,final
1,1,6215,3253,1,1,False,"Python Java C++","Python Java C++"
1,2,918,3152,1,1,False,"blue, green, red, yellow","blue, green, red, yellow"
1,3,778,2916,0,0,False,"The sea whispers secrets to the shore at dawn.","The sea whispers secrets to the shore at dawn."
1,4,578,2637,1,1,False,"BANANA","BANANA"
1,5,805,2991,1,1,False,"Cheetah Cobra Crab","Cheetah Cobra Crab"
1,6,639,2699,1,1,False,"42","42"
1,7,1201,3892,1,1,False,"Rain falls softly over the quiet countryside, painting the landscape in a gentle shimmer. It brings life to the earth, renewing the cycle of nature with each dr","Rain falls softly over the quiet countryside, painting the landscape in a gentle shimmer. It brings life to the earth, renewing the cycle of nature with each dr"
1,8,829,3054,1,1,False,"2,4,6,8,10","2,4,6,8,10"
1,9,576,2701,0,0,False,"Golden Flame.","Golden Flame."
1,10,618,2672,1,1,False,"yes!","yes!"
1,11,647,2792,1,1,False,"Apple Banana Cherry","Apple Banana Cherry"
1,12,727,2987,0,0,False,"Brew a cup of coffee and savor its rich aroma.","Brew a cup of coffee and savor its rich aroma."
1,13,534,2610,1,1,False,"Cold Wind Snow","Cold Wind Snow"
1,14,790,3009,1,1,False,"France; Germany; Italy; Spain;","France; Germany; Italy; Spain;"
1,15,820,3062,1,1,False,"100 points","100 points"
1,16,1378,4176,1,1,False,"Mountains are naturally formed structures that rise tall above the surrounding landscape, creating dramatic and enduring landmarks that have inspired cultures a","Mountains are naturally formed structures that rise tall above the surrounding landscape, creating dramatic and enduring landmarks that have inspired cultures a"
1,17,794,2993,1,1,False,"SOFA TABLE CHAIR","SOFA TABLE CHAIR"
1,18,527,2633,1,1,False,"down","down"
1,19,659,2837,1,1,False,"Python and Java","Python and Java"
1,20,782,3121,1,1,False,"Bright, Cold, Shiny, Round, Silent.","Bright, Cold, Shiny, Round, Silent."
1,21,572,2793,0,0,False,"Wow! Wow! Wow!","Wow! Wow! Wow!"
1,22,767,3084,1,1,False,"Sunday, Monday, Tuesday, Wednesday","Sunday, Monday, Tuesday, Wednesday"
1,23,610,2845,0,0,False,"Rays scatter, blue dominates.","Rays scatter, blue dominates."
1,24,852,3091,1,1,False,"5 10 15","5 10 15"
2,1,782,2977,1,1,False,"Python Java C++","Python Java C++"
2,2,805,3032,1,1,False,"blue, green, red, yellow","blue, green, red, yellow"
2,3,675,2936,0,0,False,"The sea whispers secrets to the shore at dawn.","The sea whispers secrets to the shore at dawn."
2,4,580,2779,1,1,False,"BANANA","BANANA"
2,5,840,3201,1,1,False,"Cheetah Cobra Crab","Cheetah Cobra Crab"
2,6,662,2787,1,1,False,"42","42"
2,7,1237,3980,1,1,False,"Rain falls softly over the quiet countryside, painting the landscape in a gentle shimmer. It brings life to the earth, renewing the cycle of nature with each dr","Rain falls softly over the quiet countryside, painting the landscape in a gentle shimmer. It brings life to the earth, renewing the cycle of nature with each dr"
2,8,863,3144,1,1,False,"2,4,6,8,10","2,4,6,8,10"
2,9,583,2721,0,0,False,"Golden Flame.","Golden Flame."
2,10,646,2771,1,1,False,"yes!","yes!"
2,11,675,2872,1,1,False,"Apple Banana Cherry","Apple Banana Cherry"
2,12,752,3066,0,0,False,"Brew a cup of coffee and savor its rich aroma.","Brew a cup of coffee and savor its rich aroma."
2,13,548,2653,1,1,False,"Cold Wind Snow","Cold Wind Snow"
2,14,805,3101,1,1,False,"France; Germany; Italy; Spain;","France; Germany; Italy; Spain;"
2,15,832,3055,1,1,False,"100 points","100 points"
2,16,1335,4065,1,1,False,"Mountains are naturally formed structures that rise tall above the surrounding landscape, creating dramatic and enduring landmarks that have inspired cultures a","Mountains are naturally formed structures that rise tall above the surrounding landscape, creating dramatic and enduring landmarks that have inspired cultures a"
2,17,790,2971,1,1,False,"SOFA TABLE CHAIR","SOFA TABLE CHAIR"
2,18,518,2618,1,1,False,"down","down"
2,19,655,2758,1,1,False,"Python and Java","Python and Java"
2,20,748,2966,1,1,False,"Bright, Cold, Shiny, Round, Silent.","Bright, Cold, Shiny, Round, Silent."
2,21,560,2710,0,0,False,"Wow! Wow! Wow!","Wow! Wow! Wow!"
2,22,730,2946,1,1,False,"Sunday, Monday, Tuesday, Wednesday","Sunday, Monday, Tuesday, Wednesday"
2,23,613,2838,0,0,False,"Rays scatter, blue dominates.","Rays scatter, blue dominates."
2,24,843,3013,1,1,False,"5 10 15","5 10 15"
3,1,787,2998,1,1,False,"Python Java C++","Python Java C++"
3,2,810,3040,1,1,False,"blue, green, red, yellow","blue, green, red, yellow"
3,3,670,2947,0,0,False,"The sea whispers secrets to the shore at dawn.","The sea whispers secrets to the shore at dawn."
3,4,583,2741,1,1,False,"BANANA","BANANA"
3,5,828,3120,1,1,False,"Cheetah Cobra Crab","Cheetah Cobra Crab"
3,6,649,2785,1,1,False,"42","42"
3,7,1267,4026,1,1,False,"Rain falls softly over the quiet countryside, painting the landscape in a gentle shimmer. It brings life to the earth, renewing the cycle of nature with each dr","Rain falls softly over the quiet countryside, painting the landscape in a gentle shimmer. It brings life to the earth, renewing the cycle of nature with each dr"
3,8,855,3135,1,1,False,"2,4,6,8,10","2,4,6,8,10"
3,9,585,2732,0,0,False,"Golden Flame.","Golden Flame."
3,10,633,2764,1,1,False,"yes!","yes!"
3,11,665,2900,1,1,False,"Apple Banana Cherry","Apple Banana Cherry"
3,12,768,3098,0,0,False,"Brew a cup of coffee and savor its rich aroma.","Brew a cup of coffee and savor its rich aroma."
3,13,560,2689,1,1,False,"Cold Wind Snow","Cold Wind Snow"
3,14,822,3122,1,1,False,"France; Germany; Italy; Spain;","France; Germany; Italy; Spain;"
