rep,task_id,draft_ms,medium_correct,review_ms,worked_correct,worked_changed,verdict_found,draft,worked_final
1,1,4492,1,33725,1,False,True,"Python Java C++","Python Java C++"
1,2,3419,1,21446,1,False,True,"blue, green, red, yellow","blue, green, red, yellow"
1,3,4331,0,40754,0,False,True,"The sea whispers secrets to the shore at dawn.","The sea whispers secrets to the shore at dawn."
1,4,2587,1,12661,1,False,True,"BANANA","BANANA"
1,5,4849,1,41166,1,False,True,"Cheetah Cobra Crab","Cheetah Cobra Crab"
1,6,2544,1,41546,1,False,True,"42","42"
1,7,9531,1,25872,1,False,True,"Rain falls from the sky, cleansing the earth and bringing life to the land. It is a natural phenomenon that shapes weather patterns and infl","Rain falls from the sky, cleansing the earth and bringing life to the land. It is a natural phenomenon that shapes weather patterns and infl"
1,8,1422,1,32394,1,False,True,"2,4,6,8,10","2,4,6,8,10"
1,9,2439,0,17740,0,False,True,"Golden Flame.","Golden Flame."
1,10,761,1,7507,1,False,True,"yes!","yes!"
1,11,1213,1,9748,1,False,True,"Apple Banana Cherry","Apple Banana Cherry"
1,12,1697,0,93222,0,True,True,"Brew a cup of coffee and savor its rich aroma.","----- CORRECTED ANSWER ----- Brew a cup of coffee and savor its rich aroma. (Note: The original answer contains the letter 'e', so it is not"
1,13,943,1,8883,1,False,True,"Cold Wind Snow","Cold Wind Snow"
1,14,1699,1,12679,1,False,True,"France; Germany; Italy; Spain;","France; Germany; Italy; Spain;"
1,15,1344,1,33007,1,False,True,"100 points","100 points"
1,16,9838,1,53554,1,False,True,"Mountains are naturally formed structures that rise tall above the surrounding landscape, creating dramatic and enduring landmarks that have","Mountains are naturally formed structures that rise tall above the surrounding landscape, creating dramatic and enduring landmarks that have"
1,17,3667,1,38395,1,False,True,"SOFA TABLE CHAIR","SOFA TABLE CHAIR"
1,18,1841,1,37244,1,False,True,"down","down"
1,19,2705,1,25126,1,False,True,"Python and Java","Python and Java"
1,20,6508,0,46018,0,False,True,"Crisp, cold, dark, round, silent.","Crisp, cold, dark, round, silent."
1,21,4111,0,23026,0,False,True,"Wow! Wow! Wow!","Wow! Wow! Wow!"
1,22,1114,1,9240,1,False,True,"Sunday, Monday, Tuesday, Wednesday","Sunday, Monday, Tuesday, Wednesday"
1,23,968,0,10894,0,False,True,"Rays scatter, blue dominates.","Rays scatter, blue dominates."
1,24,1184,1,11917,1,False,True,"5 10 15","5 10 15"
2,1,1190,1,10522,1,False,True,"Python Java C++","Python Java C++"
2,2,1299,1,9626,1,False,True,"blue, green, red, yellow","blue, green, red, yellow"
2,3,1278,0,11768,0,False,True,"The sea whispers secrets to the shore at dawn.","The sea whispers secrets to the shore at dawn."
2,4,851,1,4469,1,False,True,"BANANA","BANANA"
2,5,1404,1,11737,1,False,True,"Cheetah Cobra Crab","Cheetah Cobra Crab"
2,6,893,1,12702,1,False,True,"42","42"
2,7,2950,1,16471,1,False,True,"Rain falls from the sky, cleansing the earth and bringing life to the land. It is a natural phenomenon that shapes weather patterns and infl","Rain falls from the sky, cleansing the earth and bringing life to the land. It is a natural phenomenon that shapes weather patterns and infl"
2,8,5145,1,39072,1,False,True,"2,4,6,8,10","2,4,6,8,10"
2,9,2270,0,46629,0,False,True,"Golden Flame.","Golden Flame."
2,10,2287,1,12620,1,False,True,"yes!","yes!"
2,11,1126,1,8182,1,False,True,"Apple Banana Cherry","Apple Banana Cherry"
2,12,1462,0,82691,0,True,True,"Brew a cup of coffee and savor its rich aroma.","----- CORRECTED ANSWER ----- Brew a cup of coffee and savor its rich aroma. (Note: The original answer contains the letter 'e', so it is not"
2,13,812,1,8214,1,False,True,"Cold Wind Snow","Cold Wind Snow"
2,14,1652,1,11026,1,False,True,"France; Germany; Italy; Spain;","France; Germany; Italy; Spain;"
2,15,1076,1,11224,1,False,True,"100 points","100 points"
2,16,2799,1,17884,1,False,True,"Mountains are naturally formed structures that rise tall above the surrounding landscape, creating dramatic and enduring landmarks that have","Mountains are naturally formed structures that rise tall above the surrounding landscape, creating dramatic and enduring landmarks that have"
2,17,1294,1,11474,1,False,True,"SOFA TABLE CHAIR","SOFA TABLE CHAIR"
2,18,652,1,11014,1,False,True,"down","down"
2,19,900,1,7766,1,False,True,"Python and Java","Python and Java"
2,20,1750,0,33175,0,False,True,"Crisp, cold, dark, round, silent.","Crisp, cold, dark, round, silent."
2,21,3128,0,14959,0,False,True,"Wow! Wow! Wow!","Wow! Wow! Wow!"
2,22,3904,1,11216,1,False,True,"Sunday, Monday, Tuesday, Wednesday","Sunday, Monday, Tuesday, Wednesday"
2,23,1108,0,13189,0,False,True,"Rays scatter, blue dominates.","Rays scatter, blue dominates."
2,24,1490,1,51246,1,False,True,"5 10 15","5 10 15"
3,1,4810,1,19875,1,False,False,"Python Java C++","Python Java C++"
3,2,2040,0,2027,0,False,False,"",""
3,3,2029,0,2016,0,False,False,"",""
3,4,2022,0,2043,0,False,False,"",""
3,5,2046,0,2031,0,False,False,"",""
3,6,2014,0,2033,0,False,False,"",""
3,7,2025,0,2017,0,False,False,"",""
3,8,2021,0,2024,0,False,False,"",""
3,9,2020,0,2031,0,False,False,"",""
3,10,2029,0,2016,0,False,False,"",""
3,11,2030,0,2048,0,False,False,"",""
3,12,2031,0,2031,0,False,False,"",""
3,13,2030,0,2031,0,False,False,"",""
