rep,task_id,draft_ms,medium_correct,shipped_correct,shipped_changed,directive_ms,directive_correct,directive_changed,draft,directive_final
1,1,3275,1,1,False,6487,1,False,"Python Java C++","Python Java C++"
1,2,1264,1,1,False,6582,1,False,"blue, green, red, yellow","blue, green, red, yellow"
1,3,1042,0,0,False,6340,0,False,"The sea whispers secrets to the shore at dawn.","The sea whispers secrets to the shore at dawn."
1,4,892,1,1,False,6039,1,False,"BANANA","BANANA"
1,5,1273,1,1,False,6482,1,False,"Cheetah Cobra Crab","Cheetah Cobra Crab"
1,6,1008,1,1,False,6068,1,False,"42","42"
1,7,1906,1,1,False,6906,1,False,"Rain falls softly over the quiet countryside, painting the landscape in a gentle shimmer. It brings life to the earth, renewing the cycle of","Rain falls softly over the quiet countryside, painting the landscape in a gentle shimmer. It brings life to the earth, renewing the cycle of"
1,8,1306,1,1,False,6572,1,False,"2,4,6,8,10","2,4,6,8,10"
1,9,879,0,0,False,5913,0,False,"Golden Flame.","Golden Flame."
1,10,979,1,1,False,6091,1,False,"yes!","yes!"
1,11,1043,1,1,False,6221,1,False,"Apple Banana Cherry","Apple Banana Cherry"
1,12,1148,0,0,False,6513,0,False,"Brew a cup of coffee and savor its rich aroma.","Brew a cup of coffee and savor its rich aroma."
1,13,824,1,1,False,5860,1,False,"Cold Wind Snow","Cold Wind Snow"
1,14,1238,1,1,False,6519,1,True,"France; Germany; Italy; Spain;","Spain; France; Germany; Italy;"
1,15,1265,1,1,False,6383,1,False,"100 points","100 points"
1,16,1996,1,1,False,7042,1,False,"Mountains are naturally formed structures that rise tall above the surrounding landscape, creating dramatic and enduring landmarks that have","Mountains are naturally formed structures that rise tall above the surrounding landscape, creating dramatic and enduring landmarks that have"
1,17,1198,1,1,False,6339,1,False,"SOFA TABLE CHAIR","SOFA TABLE CHAIR"
1,18,791,1,1,False,5821,1,False,"down","down"
1,19,1005,1,1,False,6320,1,False,"Python and Java","Python and Java"
1,20,1215,1,1,False,6620,1,False,"Bright, Cold, Shiny, Round, Silent.","Bright, Cold, Shiny, Round, Silent."
